player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
1,Yanis Cesar,Midfielder,NA,NA,NA,45,NA,NA,NA,NA,15,0,0,0,60%,0,0,0%,0,0,0,1,0,0,1,25,32,1,2,1,2,2,0,5,2,0,0,1,0,0,0,0,1,NA,NA,5.3
2,Khedira Rani,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,16,0,0,0,70%,4,1,0%,2,0,0,0,2,2,2,23,41,0,0,0,0,2,0,3,2,0,0,10,0,0,2,0,NA,NA,NA,6.1
3,Franco Alan,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,36,0,1,0,78%,3,1,0%,1,0,0,0,0,2,1,46,64,1,0,0,1,3,2,8,5,2,2,5,1,0,2,0,NA,NA,NA,6.6
4,Adams Tyler,Midfielder,NA,NA,NA,120,NA,NA,NA,NA,119,0,0,0,90%,4,1,25%,2,1,0,7,2,1,12,132,151,0,5,3,1,1,1,4,9,1,1,9,2,1,1,0,NA,NA,NA,7.2
5,Valverde Federico,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,53,0,0,0,90%,1,0,100%,0,1,0,1,2,2,3,59,69,0,0,0,0,1,1,2,5,2,0,6,3,2,1,0,NA,NA,NA,7
6,Cho Guesung,Attacker,NA,NA,NA,90,NA,NA,NA,NA,21,0,1,1,72%,9,4,22%,3,2,0,0,0,2,0,29,50,0,2,0,1,2,0,4,5,0,0,2,1,0,2,0,NA,NA,NA,7.9
7,Hardani Saleh,Defender,NA,NA,NA,83,NA,NA,NA,NA,38,0,0,0,86%,0,0,0%,0,0,0,6,0,0,7,44,54,0,1,5,0,0,0,0,2,0,1,8,1,0,0,0,1,NA,NA,6.5
8,Musso Juan,Keeper,0,2,0,90,4,4,2,1,9,NA,NA,NA,,0,0,0%,0,0,0,6,0,0,18,21,30,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,NA,NA,NA,8.2
9,Porro Pedro,Defender,NA,NA,NA,90,NA,NA,NA,NA,36,0,0,0,77%,0,0,0%,0,0,0,3,2,0,10,47,72,1,0,0,1,0,0,6,3,3,1,9,1,1,2,0,NA,NA,NA,6.4
10,Diakite Oumar,Attacker,NA,NA,NA,90,NA,NA,NA,NA,14,0,0,1,74%,1,0,100%,0,1,0,0,0,1,0,19,29,4,1,0,0,0,0,11,3,3,2,2,2,2,0,0,NA,NA,NA,7.3
11,Smith Eric,Defender,NA,NA,NA,90,NA,NA,NA,NA,34,0,0,0,76%,3,1,33%,1,1,0,0,7,1,3,45,82,2,3,3,3,2,1,7,6,0,1,5,2,2,0,0,NA,NA,NA,6.4
12,Mccowatt Callum,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,24,0,0,0,86%,3,1,0%,2,0,0,1,1,1,1,28,43,5,6,1,1,1,1,7,12,1,0,2,0,0,5,0,NA,NA,NA,7
