nome_fifa_limpo,nome_ocidental_limpo,posicao,data_nascimento,clube,role...6,role...7,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating,name_limpo
miller roderick,roderick alonso miller molina,DF,1992-04-03,Turan Tovuz (AZE),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,17,0,0,0,74%,2,0,50%,1,1,0,1,3,1,6,23,50,2,1,3,1,3,2,8,10,1,1,6,5,3,2,0,NA,1,NA,7.5,jose gaya
widmer silvan,silvan dominic widmer,DF,1993-03-05,1. FSV Mainz 05 (GER),Defender,Defender,NA,NA,NA,78,NA,NA,NA,NA,20,0,1,0,83%,0,0,0%,0,0,0,1,4,3,3,24,40,1,0,3,0,1,0,5,3,2,0,5,2,1,1,0,1,1,NA,5.2,matt targett
irankunda nestory,nestory irankunda,FW,2006-02-09,Watford FC (ENG),Attacker,Attacker,NA,NA,NA,17,NA,NA,NA,NA,6,0,1,0,75%,1,0,0%,1,0,0,0,0,1,0,8,13,0,1,0,0,0,0,3,1,0,1,2,0,0,0,1,0,NA,NA,6.3,julian brandt
randall jesse,jesse carmichael randall,FW,2002-08-19,Auckland FC (NZL),Attacker,Attacker,NA,NA,NA,78,NA,NA,NA,NA,33,0,1,1,80%,5,1,60%,1,3,0,0,1,1,1,41,59,1,0,0,2,4,3,7,5,3,0,2,2,0,0,0,1,NA,NA,8,marco reus
davis eric,eric javier davis grajales,DF,1991-03-31,CD Plaza Amador (PAN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,16,0,1,0,64%,1,0,0%,1,0,0,4,1,1,8,25,53,0,1,6,0,2,2,0,5,0,2,3,2,2,0,0,NA,NA,NA,7.9,federico fernandez
rufer alex,alex arthur rufer,MF,1996-06-12,Wellington Phoenix FC (NZL),Midfielder,Midfielder,NA,NA,NA,15,NA,NA,NA,NA,2,0,0,0,100%,1,1,0%,0,0,0,0,0,0,0,2,8,0,0,1,1,0,0,1,2,0,0,1,2,2,0,1,0,NA,NA,6.2,oliver burke
yannick semedo,jair semedo monteiro,MF,1995-12-29,SC Farense (POR),Midfielder,Midfielder,NA,NA,NA,72,NA,NA,NA,NA,41,0,0,0,89%,2,0,0%,2,0,0,3,7,3,4,46,66,2,1,1,2,1,0,9,4,3,1,6,2,1,1,0,1,1,NA,6.3,luca cigarini
pepe nicolas,nicolas pepe,FW,1995-05-29,Villarreal CF (ESP),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,25,0,0,0,86%,2,1,0%,0,0,0,0,1,5,0,29,47,2,5,0,2,0,0,6,10,3,0,6,1,0,6,0,NA,NA,NA,7,stefano okaka chuka
musab aljuwayr,musab fahad z aljuwayr,MF,2003-06-20,Al Qadsiah FC (KSA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,59,0,0,0,97%,4,0,50%,2,2,0,6,2,1,6,61,75,0,0,1,0,2,2,4,3,1,1,5,1,0,0,0,NA,NA,NA,7.6,toni kroos
rodriguez tomas,tomas abdiel rodriguez mena,FW,1999-03-09,Deportivo Saprissa (CRC),Attacker,Attacker,NA,NA,NA,85,NA,NA,NA,NA,14,0,0,0,82%,2,0,100%,0,2,0,1,2,4,2,17,31,0,0,1,2,1,1,5,3,2,0,2,1,1,1,0,1,NA,NA,6.8,federico di francesco
