ano,pais,gols_acumulados_ano_anterior,titulos_outros_acumulados_ano_anterior,ganhou_fifa
1961,Albania,0,0,0
1961,Austria,2,0,0
1961,Belgium,2,0,0
1961,Bulgaria,0,0,0
1961,Croatia,0,0,0
1961,Czech Republic,0,0,0
1961,Czechoslovakia,7,1,0
1961,Denmark,5,0,0
1961,England,11,1,0
1961,Finland,5,0,0
1961,France,13,1,0
1961,Georgia,0,0,0
1961,Germany,7,0,0
1961,Greece,0,0,0
1961,Hungary,0,0,0
1961,Iceland,0,0,0
1961,Italy,3,1,0
1961,Latvia,0,0,0
1961,Netherlands,0,0,0
1961,North Macedonia,0,0,0
1961,Northern Ireland,9,0,0
1961,Norway,9,0,0
1961,Poland,0,0,0
1961,Portugal,3,0,0
1961,Republic of Ireland,0,0,0
1961,Romania,0,0,0
1961,Russia,5,0,0
1961,Scotland,6,0,0
1961,Serbia,0,0,0
1961,Slovakia,0,0,0
1961,Slovenia,0,0,0
1961,Spain,0,0,0
1961,Sweden,8,1,0
1961,Switzerland,4,0,0
1961,Turkey,0,0,0
1961,Ukraine,0,0,0
1961,Wales,6,0,0
1961,Yugoslavia,12,0,0
1962,Albania,0,0,0
1962,Austria,2,0,0
1962,Belgium,3,0,0
1962,Bulgaria,7,1,0
1962,Croatia,0,0,0
1962,Czech Republic,0,0,0
1962,Czechoslovakia,27,1,0
1962,Denmark,19,0,0
1962,England,25,1,0
1962,Finland,12,0,0
1962,France,18,1,0
1962,Georgia,0,0,0
1962,Germany,11,0,0
1962,Greece,3,0,0
1962,Hungary,6,0,0
1962,Iceland,0,0,0
1962,Italy,3,1,0
1962,Latvia,0,0,0
1962,Netherlands,3,0,0
1962,North Macedonia,0,0,0
1962,Northern Ireland,16,0,0
1962,Norway,13,0,0
1962,Poland,2,0,0
1962,Portugal,4,0,0
1962,Republic of Ireland,3,0,0
1962,Romania,0,0,0
1962,Russia,16,0,0
1962,Scotland,29,0,0
1962,Serbia,0,0,0
1962,Slovakia,0,0,0
1962,Slovenia,0,0,0
1962,Spain,3,0,0
1962,Sweden,25,2,0
1962,Switzerland,11,0,0
1962,Turkey,4,0,0
1962,Ukraine,0,0,0
1962,Wales,14,0,0
1962,Yugoslavia,15,0,0
1963,Albania,0,0,0
1963,Austria,2,0,0
1963,Belgium,5,0,0
1963,Bulgaria,12,1,0
1963,Croatia,0,0,0
1963,Czech Republic,0,0,0
1963,Czechoslovakia,32,2,0
1963,Denmark,33,0,0
1963,England,34,2,0
1963,Finland,14,0,0
1963,France,19,1,0
1963,Georgia,0,0,0
1963,Germany,13,0,0
1963,Greece,3,0,0
1963,Hungary,17,0,0
1963,Iceland,3,0,0
1963,Italy,12,1,0
1963,Latvia,0,0,0
1963,Netherlands,6,0,0
1963,North Macedonia,0,0,0
1963,Northern Ireland,22,0,0
1963,Norway,19,0,0
1963,Poland,2,0,0
1963,Portugal,8,1,0
1963,Republic of Ireland,8,0,0
1963,Romania,3,0,0
1963,Russia,18,0,0
1963,Scotland,39,0,0
1963,Serbia,0,0,0
1963,Slovakia,0,0,0
1963,Slovenia,0,0,0
1963,Spain,10,0,0
1963,Sweden,36,3,0
1963,Switzerland,13,0,0
1963,Turkey,4,0,0
1963,Ukraine,0,0,0
1963,Wales,21,0,0
1963,Yugoslavia,20,0,0
1964,Albania,1,0,0
1964,Austria,4,0,0
1964,Belgium,5,0,0
1964,Bulgaria,15,1,0
1964,Croatia,0,0,0
1964,Czech Republic,0,0,0
1964,Czechoslovakia,32,2,0
1964,Denmark,44,0,0
1964,England,49,2,0
1964,Finland,17,0,0
1964,France,27,1,0
1964,Georgia,0,0,0
1964,Germany,13,0,0
1964,Greece,3,0,0
1964,Hungary,18,0,0
1964,Iceland,3,0,0
1964,Italy,14,1,0
