ano_campeonato,rodada,estadio,publico,publico_max,publico_medio_mandante,colocacao_mandante,colocacao_visitante,time_mandante,time_visitante,gols_mandante,gols_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,resultado_mandante,resultado_ultimo_jogo_mandante,saldo_gols_ultimo_jogo_mandante,sequencia_vitoria_mandante,sequencia_derrota_mandante,resultado_ultimo_jogo_visitante,saldo_gols_ultimo_jogo_visitante,sequencia_vitoria_visitante,sequencia_derrota_visitante
2017,1,Allianz Parque,33425.0,43600.0,33425.0,2.0,19.0,Palmeiras,Vasco da Gama,4.0,0.0,28950000.0,8530000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Arena Fonte Nova,8127.0,55000.0,8127.0,1.0,18.0,EC Bahia,Atlético-PR,6.0,2.0,13500000.0,15400000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Arena do Grêmio,20289.0,60540.0,20289.0,5.0,16.0,Grêmio,Botafogo,2.0,0.0,30350000.0,12550000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Neo Química Arena,31470.0,49205.0,31470.0,8.0,11.0,Corinthians,Chapecoense,1.0,1.0,22500000.0,11300000.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Moisés Lucarelli,3104.0,19728.0,3104.0,3.0,20.0,Ponte Preta,Sport Recife,4.0,0.0,9650000.0,13600000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Aderbal Ramos da Silva,4798.0,17800.0,4798.0,12.0,13.0,Avaí FC,EC Vitória,0.0,0.0,6550000.0,11900000.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Jornalista Mário Filho,50220.0,78838.0,50220.0,10.0,9.0,Flamengo,Atlético-MG,1.0,1.0,22350000.0,31500000.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Jornalista Mário Filho,11835.0,82238.0,11835.0,6.0,14.0,Fluminense,Santos FC,3.0,2.0,18350000.0,33000000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Governador Magalhães Pinto,6528.0,57483.0,6528.0,7.0,15.0,Cruzeiro,São Paulo,1.0,0.0,31750000.0,35650000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,1,Estádio Major Antônio Couto Pereira,11173.0,37182.0,11173.0,4.0,17.0,Coritiba FC,Atlético-GO,4.0,1.0,14600000.0,6850000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017,2,Arena Condá,10323.0,22600.0,10323.0,11.0,2.0,Chapecoense,Palmeiras,1.0,0.0,12050000.0,21500000.0,1,-0.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0
2017,2,Arena Fonte Nova,16515.0,55000.0,16515.0,13.0,8.0,EC Vitória,Corinthians,0.0,1.0,11600000.0,21750000.0,-1,-0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
2017,2,Arena da Baixada,17244.0,42372.0,17244.0,18.0,5.0,Atlético-PR,Grêmio,0.0,2.0,23000000.0,28300000.0,-1,-1.0,-4.0,0.0,1.0,1.0,2.0,2.0,0.0
2017,2,Estádio Serra Dourada,10144.0,50049.0,10144.0,17.0,10.0,Atlético-GO,Flamengo,0.0,3.0,7050000.0,23100000.0,-1,-1.0,-3.0,0.0,1.0,0.0,0.0,2.0,0.0
2017,2,Estádio São Januário,19030.0,24584.0,19030.0,19.0,1.0,Vasco da Gama,EC Bahia,2.0,1.0,10100000.0,11650000.0,1,-1.0,-4.0,0.0,1.0,1.0,4.0,2.0,0.0
2017,2,Estádio Urbano Caldeira,5921.0,20120.0,5921.0,14.0,4.0,Santos FC,Coritiba FC,1.0,0.0,30000000.0,12700000.0,1,-1.0,-1.0,0.0,1.0,1.0,3.0,2.0,0.0
2017,2,Estádio Raimundo Sampaio,16145.0,23018.0,16145.0,9.0,6.0,Atlético-MG,Fluminense,1.0,2.0,35750000.0,21200000.0,-1,-0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0
2017,2,Estádio Olímpico Nilton Santos,9160.0,46931.0,9160.0,16.0,3.0,Botafogo,Ponte Preta,2.0,0.0,12300000.0,12450000.0,1,-1.0,-2.0,0.0,1.0,1.0,4.0,2.0,0.0
2017,2,Estádio Cícero Pompeu de Toledo,12427.0,67428.0,12427.0,15.0,12.0,São Paulo,Avaí FC,2.0,0.0,34400000.0,6000000.0,1,-1.0,-1.0,0.0,1.0,0.0,0.0,2.0,0.0
2017,2,Estádio Adelmar da Costa Carvalho,3484.0,35000.0,3484.0,20.0,7.0,Sport Recife,Cruzeiro,1.0,1.0,17150000.0,31750000.0,0,-1.0,-4.0,0.0,1.0,1.0,1.0,2.0,0.0
2017,3,Arena Condá,6188.0,22600.0,8255.5,6.0,17.0,Chapecoense,Avaí FC,2.0,0.0,12050000.0,6550000.0,1,1.0,1.0,3.0,0.0,-1.0,-2.0,0.0,1.0
2017,3,Arena Fonte Nova,7619.0,35632.0,12067.0,16.0,9.0,EC Vitória,Coritiba FC,0.0,1.0,13250000.0,11700000.0,-1,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0
2017,3,Arena da Baixada,19923.0,42372.0,18583.5,19.0,3.0,Atlético-PR,Flamengo,1.0,1.0,22000000.0,24250000.0,0,-1.0,-2.0,0.0,2.0,1.0,3.0,3.0,0.0
2017,3,Estádio Serra Dourada,13712.0,50049.0,11928.0,20.0,4.0,Atlético-GO,Corinthians,0.0,1.0,7100000.0,21500000.0,-1,-1.0,-3.0,0.0,2.0,1.0,1.0,3.0,0.0
