ano_campeonato,rodada,estadio,publico,publico_max,publico_medio_mandante,colocacao_mandante,colocacao_visitante,time_mandante,time_visitante,gols_mandante,gols_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,resultado_mandante,resultado_ultimo_jogo_mandante,saldo_gols_ultimo_jogo_mandante,sequencia_vitoria_mandante,sequencia_derrota_mandante,resultado_ultimo_jogo_visitante,saldo_gols_ultimo_jogo_visitante,sequencia_vitoria_visitante,sequencia_derrota_visitante
2017,1,Mercedes-Benz Stadium,33425,43600,33425,2,19,Costa do Marfim,Irã,4,0,28950000,8530000,1,0,0,1,0,0,0,1,0
2017,1,NRG Stadium,8127,55000,8127,1,18,Iraque,Japão,6,2,13500000,15400000,1,0,0,1,0,0,0,1,0
2017,2,Gillette Stadium,10323,22600,10323,11,2,Espanha,Jordânia,1,0,12050000,21500000,1,-0,0,2,0,1,4,2,0
2017,2,NRG Stadium,16515,55000,16515,13,8,Bósnia e Herzegovina,Coreia do Sul,0,1,11600000,21750000,-1,-0,0,2,0,0,0,2,0
2017,2,AT&T Stadium,17244,42372,17244,18,5,Inglaterra,Portugal,0,2,23000000,28300000,-1,-1,-4,0,1,1,2,2,0
2017,2,BMO Field,16145,23018,16145,9,6,Espanha,Arábia Saudita,1,2,35750000,21200000,-1,-0,0,2,0,1,1,2,0
2017,2,GEHA Field at Arrowhead Stadium,3484,35000,3484,20,7,Marrocos,Iraque,1,1,17150000,31750000,0,-1,-4,0,1,1,1,2,0
2017,3,Gillette Stadium,6188,22600,8255.5,6,17,França,Suécia,2,0,12050000,6550000,1,1,1,3,0,-1,-2,0,1
2017,3,NRG Stadium,7619,35632,12067,16,9,Senegal,Catar,0,1,13250000,11700000,-1,-1,-1,0,1,-1,-1,0,1
2017,3,AT&T Stadium,19923,42372,18583.5,19,3,Arábia Saudita,Equador,1,1,22000000,24250000,0,-1,-2,0,2,1,3,3,0
2017,3,BMO Field,19553,23018,17849,15,10,Áustria,Jordânia,2,2,38500000,8900000,0,-1,-1,0,1,-1,-2,0,1
2017,3,GEHA Field at Arrowhead Stadium,3441,35000,3462.5,18,1,Holanda,Inglaterra,4,3,17500000,8350000,1,0,0,1,0,1,2,3,0
2017,4,Mercedes-Benz Stadium,34240,43600,33832.5,14,16,Arábia Saudita,Canadá,0,0,25650000,29350000,0,-1,-2,0,2,0,0,1,0
2017,4,NRG Stadium,13364,55000,10745.5,13,20,Inglaterra,Senegal,3,0,NA,NA,1,-1,-1,0,2,-1,-1,0,3
